author_key,author,born_date,born_location,description,author_url
Albert-Einstein,Albert Einstein,"March 14, 1879","in Ulm, Germany","In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zurich by 1909. His 1905 paper explaining the photoelectric effect, the basis of electronics, earned him the Nobel Prize in 1921. His first paper on Special Relativity Theory, also published in 1905, changed the world. After the rise of the Nazi party, Einstein made Princeton his permanent home, becoming a U.S. citizen in 1940. Einstein, a pacifist during World War I, stayed a firm proponent of social justice and responsibility. He chaired the Emergency Committee of Atomic Scientists, which organized to alert the public to the dangers of atomic warfare.At a symposium, he advised: ""In their struggle for the ethical good, teachers of religion must have the stature to give up the doctrine of a personal God, that is, give up that source of fear and hope which in the past placed such vast power in the hands of priests. In their labors they will have to avail themselves of those forces which are capable of cultivating the Good, the True, and the Beautiful in humanity itself. This is, to be sure a more difficult but an incomparably more worthy task . . . "" (""Science, Philosophy and Religion, A Symposium,"" published by the Conference on Science, Philosophy and Religion in their Relation to the Democratic Way of Life, Inc., New York, 1941). In a letter to philosopher Eric Gutkind, dated Jan. 3, 1954, Einstein stated: ""The word god is for me nothing more than the expression and product of human weaknesses, the Bible a collection of honorable, but still primitive legends which are nevertheless pretty childish. No interpretation no matter how subtle can (for me) change this,"" (The Guardian, ""Childish superstition: Einstein's letter makes view of religion relatively clear,"" by James Randerson, May 13, 2008). D. 1955.While best known for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""), he received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"". The latter was pivotal in establishing quantum theory.Einstein thought that Newtonion mechanics was no longer enough to reconcile the laws of classical mechanics with the laws of the electromagnetic field. This led to the development of his special theory of relativity. He realized, however, that the principle of relativity could also be extended to gravitational fields, and with his subsequent theory of gravitation in 1916, he published a paper on the general theory of relativity. He continued to deal with problems of statistical mechanics and quantum theory, which led to his explanations of particle theory and the motion of molecules. He also investigated the thermal properties of light which laid the foundation of the photon theory of light.He was visiting the United States when Adolf Hitler came to power in 1933 and did not go back to Germany. On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential development of ""extremely powerful bombs of a new type"" and recommending that the U.S. begin similar research. This eventually led to what would become the Manhattan Project. Einstein supported defending the Allied forces, but largely denounced the idea of using the newly discovered nuclear fission as a weapon. Later, with Bertrand Russell, Einstein signed the Russell–Einstein Manifesto, which highlighted the danger of nuclear weapons. Einstein was affiliated with the Institute for Advanced Study in Princeton, New Jersey, until his death in 1955.His great intellectual achievements and originality have made the word ""Einstein"" synonymous with genius.More: http://en.wikipedia.org/wiki/Albert_E...http://www.nobelprize.org/nobel_prize...",https://quotes.toscrape.com/author/Albert-Einstein
Marilyn-Monroe,Marilyn Monroe,"June 01, 1926",in The United States,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, model, and singer, who became a major sex symbol, starring in a number of commercially successful motion pictures during the 1950s and early 1960s.After spending much of her childhood in foster homes, Monroe began a career as a model, which led to a film contract in 1946 with Twentieth Century-Fox. Her early film appearances were minor, but her performances in The Asphalt Jungle and All About Eve (both 1950), drew attention. By 1952 she had her first leading role in Don't Bother to Knock and 1953 brought a lead in Niagara, a melodramatic film noir that dwelt on her seductiveness. Her ""dumb blonde"" persona was used to comic effect in subsequent films such as Gentlemen Prefer Blondes (1953), How to Marry a Millionaire (1953) and The Seven Year Itch (1955). Limited by typecasting, Monroe studied at the Actors Studio to broaden her range. Her dramatic performance in Bus Stop (1956) was hailed by critics and garnered a Golden Globe nomination. Her production company, Marilyn Monroe Productions, released The Prince and the Showgirl (1957), for which she received a BAFTA Award nomination and won a David di Donatello award. She received a Golden Globe Award for her performance in Some Like It Hot (1959). Monroe's last completed film was The Misfits, co-starring Clark Gable with screenplay by her then-husband, Arthur Miller.Marilyn was a passionate reader, owning four hundred books at the time of her death, and was often photographed with a book.The final years of Monroe's life were marked by illness, personal problems, and a reputation for unreliability and being difficult to work with. The circumstances of her death, from an overdose of barbiturates, have been the subject of conjecture. Though officially classified as a ""probable suicide"", the possibility of an accidental overdose, as well as of homicide, have not been ruled out. In 1999, Monroe was ranked as the sixth greatest female star of all time by the American Film Institute. In the decades following her death, she has often been cited as both a pop and a cultural icon as well as the quintessential American sex symbol.",https://quotes.toscrape.com/author/Marilyn-Monroe
Thomas-A-Edison,Thomas A. Edison,"February 11, 1847","in Milan, Ohio, The United States","Thomas Alva Edison was an American inventor, scientist and businessman who developed many devices that greatly influenced life around the world, including the phonograph, the motion picture camera, and a long-lasting, practical electric light bulb. Dubbed ""The Wizard of Menlo Park"" (now Edison, New Jersey) by a newspaper reporter, he was one of the first inventors to apply the principles of mass production and large teamwork to the process of invention, and therefore is often credited with the creation of the first industrial research laboratory.Edison is considered one of the most prolific inventors in history, holding 1,093 U.S. patents in his name, as well as many patents in the United Kingdom, France and Germany. He is credited with numerous inventions that contributed to mass communication and, in particular, telecommunications. His advanced work in these fields was an outgrowth of his early career as a telegraph operator. Edison originated the concept and implementation of electric-power generation and distribution to homes, businesses, and factories – a crucial development in the modern industrialized world. His first power station was on Manhattan Island, New York.",https://quotes.toscrape.com/author/Thomas-A-Edison
Elie-Wiesel,Elie Wiesel,"September 30, 1928","in Sighet, Romania","Eliezer Wiesel was a Romania-born American novelist, political activist, and Holocaust survivor of Hungarian Jewish descent. He was the author of over 40 books, the best known of which is Night, a memoir that describes his experiences during the Holocaust and his imprisonment in several concentration camps.Wiesel was awarded the Nobel Peace Prize in 1986. The Norwegian Nobel Committee called him a ""messenger to mankind,"" noting that through his struggle to come to terms with ""his own personal experience of total humiliation and of the utter contempt for humanity shown in Hitler's death camps,"" as well as his ""practical work in the cause of peace,"" Wiesel has delivered a powerful message ""of peace, atonement and human dignity"" to humanity.On November 30, 2006 Wiesel received an honorary knighthood in London, England in recognition of his work toward raising Holocaust education in the United Kingdom.http://us.macmillan.com/author/eliewi...",https://quotes.toscrape.com/author/Elie-Wiesel
J-K-Rowling,J.K. Rowling,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom","See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolling, her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers demanded that she use two initials, rather than her full name. As she had no middle name, she chose K as the second initial of her pen name, from her paternal grandmother Kathleen Ada Bulgen Rowling. She calls herself Jo and has said, ""No one ever called me 'Joanne' when I was young, unless they were angry."" Following her marriage, she has sometimes used the name Joanne Murray when conducting personal business. During the Leveson Inquiry she gave evidence under the name of Joanne Kathleen Rowling. In a 2012 interview, Rowling noted that she no longer cared that people pronounced her name incorrectly.Rowling was born to Peter James Rowling, a Rolls-Royce aircraft engineer, and Anne Rowling (née Volant), on 31 July 1965 in Yate, Gloucestershire, England, 10 miles (16 km) northeast of Bristol. Her mother Anne was half-French and half-Scottish. Her parents first met on a train departing from King's Cross Station bound for Arbroath in 1964. They married on 14 March 1965. Her mother's maternal grandfather, Dugald Campbell, was born in Lamlash on the Isle of Arran. Her mother's paternal grandfather, Louis Volant, was awarded the Croix de Guerre for exceptional bravery in defending the village of Courcelles-le-Comte during the First World War.Rowling's sister Dianne was born at their home when Rowling was 23 months old. The family moved to the nearby village Winterbourne when Rowling was four. She attended St Michael's Primary School, a school founded by abolitionist William Wilberforce and education reformer Hannah More. Her headmaster at St Michael's, Alfred Dunn, has been suggested as the inspiration for the Harry Potter headmaster Albus Dumbledore.As a child, Rowling often wrote fantasy stories, which she would usually then read to her sister. She recalls that: ""I can still remember me telling her a story in which she fell down a rabbit hole and was fed strawberries by the rabbit family inside it. Certainly the first story I ever wrote down (when I was five or six) was about a rabbit called Rabbit. He got the measles and was visited by his friends, including a giant bee called Miss Bee."" At the age of nine, Rowling moved to Church Cottage in the Gloucestershire village of Tutshill, close to Chepstow, Wales. When she was a young teenager, her great aunt, who Rowling said ""taught classics and approved of a thirst for knowledge, even of a questionable kind,"" gave her a very old copy of Jessica Mitford's autobiography, Hons and Rebels. Mitford became Rowling's heroine, and Rowling subsequently read all of her books.Rowling has said of her teenage years, in an interview with The New Yorker, ""I wasn’t particularly happy. I think it’s a dreadful time of life."" She had a difficult homelife; her mother was ill and she had a difficult relationship with her father (she is no longer on speaking terms with him). She attended secondary school at Wyedean School and College, where her mother had worked as a technician in the science department. Rowling said of her adolescence, ""Hermione [a bookish, know-it-all Harry Potter character] is loosely based on me. She's a caricature of me when I was eleven, which I'm not particularly proud of."" Steve Eddy, who taught Rowling English when she first arrived, remembers her as ""not exceptional"" but ""one of a group of girls who were bright, and quite good at English."" Sean Harris, her best friend in the Upper Sixth owned a turquoise Ford Anglia, which she says inspired the one in her books.",https://quotes.toscrape.com/author/J-K-Rowling
George-Eliot,George Eliot,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom","In 1819, novelist George Eliot (nee Mary Ann Evans), was born at a farmstead in Nuneaton, Warwickshire, England, where her father was estate manager. Mary Ann, the youngest child and a favorite of her father's, received a good education for a young woman of her day. Influenced by a favorite governess, she became a religious evangelical as an adolescent. Her first published work was a religious poem. Through a family friend, she was exposed to Charles Hennell's An Inquiry into the Origins of Christianity. Unable to believe, she conscientiously gave up religion and stopped attending church. Her father shunned her, sending the broken-hearted young dependent to live with a sister until she promised to reexamine her feelings. Her intellectual views did not, however, change. She translated David Strauss' Das Leben Jesu, a monumental task, without signing her name to the 1846 work. After her father's death in 1849, Mary Ann traveled, then accepted an unpaid position with The Westminster Review. Despite a heavy workload, she translated Ludwig Feuerbach's The Essence of Christianity, the only book ever published under her real name. That year, the shy, respectable writer scandalized British society by sending notices to friends announcing she had entered a free ""union"" with George Henry Lewes, editor of The Leader, who was unable to divorce his first wife. They lived harmoniously together for the next 24 years, but suffered social ostracism and financial hardship. She became salaried and began writing essays and reviews for The Westminster Review. Renaming herself ""Marian"" in private life and adopting the nom de plume ""George Eliot,"" she began her impressive fiction career, including: Adam Bede (1859), The Mill on the Floss (1860), Silas Marner (1861), Romola (1863), and Middlemarch (1871). Themes included her humanist vision and strong heroines. Her poem, ""O May I Join the Choir Invisible"" expressed her views about non supernatural immortality: ""O may I join the choir invisible/ Of those immortal dead who live again/ In minds made better by their presence. . ."" D. 1880.Her 1872 work Middlemarch has been described by Martin Amis and Julian Barnes as the greatest novel in the English language.More: http://en.wikipedia.org/wiki/George_E...http://www.bbc.co.uk/history/historic...http://www.britannica.com/EBchecked/t...http://www.victorianweb.org/victorian...http://www.biography.com/people/georg...http://www.pbs.org/wgbh/masterpiece/d...",https://quotes.toscrape.com/author/George-Eliot
C-S-Lewis,C.S. Lewis,"November 29, 1898","in Belfast, Ireland","CLIVE STAPLES LEWIS (1898–1963) was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University, a position he held until his retirement. He wrote more than thirty books, allowing him to reach a vast audience, and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include Mere Christianity, Out of the Silent Planet, The Great Divorce, The Screwtape Letters, and the universally acknowledged classics The Chronicles of Narnia. To date, the Narnia books have sold over 100 million copies and been transformed into three major motion pictures.",https://quotes.toscrape.com/author/C-S-Lewis
Martin-Luther-King-Jr,Martin Luther King Jr.,"January 15, 1929","in Atlanta, Georgia, The United States","Martin Luther King, Jr. was one of the pivotal leaders of the American civil rights movement. King was a Baptist minister, one of the few leadership roles available to black men at the time. He became a civil rights activist early in his career. He led the Montgomery Bus Boycott (1955–1956) and helped found the Southern Christian Leadership Conference (1957), serving as its first president. His efforts led to the 1963 March on Washington, where King delivered his “I Have a Dream” speech. Here he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history. In 1964, King became the youngest person to receive the Nobel Peace Prize for his efforts to end segregation and racial discrimination through civil disobedience and other non-violent means.King was assassinated on April 4, 1968, in Memphis, Tennessee. He was posthumously awarded the Presidential Medal of Freedom by President Jimmy Carter in 1977. Martin Luther King, Jr. Day was established as a national holiday in the United States in 1986. In 2004, King was posthumously awarded a Congressional Gold Medal.",https://quotes.toscrape.com/author/Martin-Luther-King-Jr
Helen-Keller,Helen Keller,"June 27, 1880","in Tuscumbia, Alabama, The United States","Helen Keller would not be bound by conditions. Rendered deaf and blind at 19 months by scarlet fever, she learned to read (in several languages) and even speak, eventually graduating with honors from Radcliffe College in 1904, where as a student she wrote The Story of My Life. That she accomplished all of this in an age when few women attended college and the disabled were often relegated to the background, spoken of only in hushed tones, is remarkable. But Keller's many other achievements are impressive by any standard: she authored 13 books, wrote countless articles, and devoted her life to social reform. An active and effective suffragist, pacifist, and socialist (the latter association earned her an FBI file), she lectured on behalf of disabled people everywhere. She also helped start several foundations that continue to improve the lives of the deaf and blind around the world. As a young girl Keller was obstinate, prone to fits of violence, and seething with rage at her inability to express herself. But at the age of 7 this wild child was transformed when, at the urging of Alexander Graham Bell, Anne Sullivan became her teacher, an event she declares ""the most important day I remember in all my life."" (Sullivan herself had once been blind, but partially recovered her sight after a series of operations.) In a memorable passage, Keller writes of the day ""Teacher"" led her to a stream and repeatedly spelled out the letters w-a-t-e-r on one of her hands while pouring water over the other. This method proved a revelation: ""That living world awakened my soul, gave it light, hope, joy, set it free! There were barriers still, it is true, but barriers that could in time be swept away."" And, indeed, most of them were. In her lovingly crafted and deeply perceptive autobiography, Keller's joyous spirit is most vividly expressed in her connection to nature: Indeed, everything that could hum, or buzz, or sing, or bloom, had a part in my education.... Few know what joy it is to feel the roses pressing softly into the hand, or the beautiful motion of the lilies as they sway in the morning breeze. Sometimes I caught an insect in the flower I was plucking, and I felt the faint noise of a pair of wings rubbed together in a sudden terror.... The idea of feeling rather than hearing a sound, or of admiring a flower's motion rather than its color, evokes a strong visceral sensation in the reader, giving The Story of My Life a subtle power and beauty. Keller's celebration of discovery becomes our own. In the end, this blind and deaf woman succeeds in sharpening our eyes and ears to the beauty of the world. --Shawn Carkonen",https://quotes.toscrape.com/author/Helen-Keller
George-Bernard-Shaw,George Bernard Shaw,"July 26, 1856","in Dublin, Ireland","George Bernard Shaw was an Irish playwright, socialist, and a co-founder of the London School of Economics. Although his first profitable writing was music and literary criticism, in which capacity he wrote many highly articulate pieces of journalism, his main talent was for drama. Over the course of his life he wrote more than 60 plays. Nearly all his plays address prevailing social problems, but each also includes a vein of comedy that makes their stark themes more palatable. In these works Shaw examined education, marriage, religion, government, health care, and class privilege.An ardent socialist, Shaw was angered by what he perceived to be the exploitation of the working class. He wrote many brochures and speeches for the Fabian Society. He became an accomplished orator in the furtherance of its causes, which included gaining equal rights for men and women, alleviating abuses of the working class, rescinding private ownership of productive land, and promoting healthy lifestyles. For a short time he was active in local politics, serving on the London County Council.In 1898, Shaw married Charlotte Payne-Townshend, a fellow Fabian, whom he survived. They settled in Ayot St. Lawrence in a house now called Shaw's Corner. He is the only person to have been awarded both a Nobel Prize for Literature (1925) and an Oscar (1938). The former for his contributions to literature and the latter for his work on the film ""Pygmalion"" (adaptation of his play of the same name). Shaw wanted to refuse his Nobel Prize outright, as he had no desire for public honours, but he accepted it at his wife's behest. She considered it a tribute to Ireland. He did reject the monetary award, requesting it be used to finance translation of Swedish books to English.Shaw died at Shaw's Corner, aged 94, from chronic health problems exacerbated by injuries incurred by falling.",https://quotes.toscrape.com/author/George-Bernard-Shaw
