quote,author,author_key,born_date,born_location,tag,author_url
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,Albert-Einstein,"March 14, 1879","in Ulm, Germany","inspirational, life, live, miracle, miracles",https://quotes.toscrape.com/author/Albert-Einstein
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,Marilyn-Monroe,"June 01, 1926",in The United States,"be-yourself, inspirational",https://quotes.toscrape.com/author/Marilyn-Monroe
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,Thomas-A-Edison,"February 11, 1847","in Milan, Ohio, The United States","edison, failure, inspirational, paraphrased",https://quotes.toscrape.com/author/Thomas-A-Edison
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,Marilyn-Monroe,"June 01, 1926",in The United States,"friends, heartbreak, inspirational, life, love, sisters",https://quotes.toscrape.com/author/Marilyn-Monroe
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,Elie-Wiesel,"September 30, 1928","in Sighet, Romania","activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",https://quotes.toscrape.com/author/Elie-Wiesel
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,J-K-Rowling,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom","death, inspirational",https://quotes.toscrape.com/author/J-K-Rowling
“It is never too late to be what you might have been.”,George Eliot,George-Eliot,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom",inspirational,https://quotes.toscrape.com/author/George-Eliot
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,C-S-Lewis,"November 29, 1898","in Belfast, Ireland","books, inspirational, reading, tea",https://quotes.toscrape.com/author/C-S-Lewis
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,Martin-Luther-King-Jr,"January 15, 1929","in Atlanta, Georgia, The United States","hope, inspirational",https://quotes.toscrape.com/author/Martin-Luther-King-Jr
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,Helen-Keller,"June 27, 1880","in Tuscumbia, Alabama, The United States",inspirational,https://quotes.toscrape.com/author/Helen-Keller
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,George-Bernard-Shaw,"July 26, 1856","in Dublin, Ireland","inspirational, life, yourself",https://quotes.toscrape.com/author/George-Bernard-Shaw
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,John-Lennon,"October 09, 1940","in Liverpool, England, The United Kingdom","beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",https://quotes.toscrape.com/author/John-Lennon
"“A person's a person, no matter how small.”",Dr. Seuss,Dr-Seuss,"March 02, 1904","in Springfield, MA, The United States",inspirational,https://quotes.toscrape.com/author/Dr-Seuss
